ゲーム名,プレイ人数,プレイ時間,対象年齢,発売年
ウィ・ウィル・ウォック・ユー！,2人～4人,30分～40分,8歳～,2012年～
ウィ・ウィル・ロック・ユー,4人～12人,30分前後,8歳～,2009年～
ヴァス・シュティッヒ,3人～4人,60分前後,12歳～,1993年～
インペリアル,2人～6人,120分～180分,12歳～,2006年～
インフェルノ,3人～7人,20分前後,8歳～,2005年～
イントリーゲ,3人～5人,45分前後,14歳～,1994年～
インディアン人狼うちわ,3人～7人,1分～5分,8歳～,2016年～
インダストリア,3人～4人,60分前後,10歳～,2003年～
インシュ,2人用,30分～60分,9歳～,2003年～
インジーニアス（頭脳絶好調）,2人～4人,45分前後,10歳～,2004年～
インコグニト,3人～5人,90分前後,10歳～,1988年～
インカの黄金,3人～8人,20分前後,8歳～,2006年～
イラスト募集中,3人～5人,30分～40分,12歳～,1990年～
ワームアップ / イモムシイモムシ,3人～5人,15分前後,7歳～,1994年～
イゾルデ,2人～5人,30分前後,8歳～,2015年～
イスファハン,3人～4人,60分前後,8歳～,2006年～
イスタンブール,2人～5人,40分～60分,10歳～,2014年～
生きてる！,2人～5人,15分～30分,12歳～,2007年～
いかさまゴキブリ,3人～5人,30分前後,7歳～,2011年～
アンダーカバー,2人～7人,30分前後,8歳～,1984年～
アンギャルド,2人用,30分前後,8歳～,1993年～
蟻の国,2人～4人,60分～120分,13歳～,2012年～
アラカルト,2人～4人,30分～40分,10歳～,2009年～
あやつり人形,2人～7人,20分～60分,10歳～,2000年～
アメン・ラー,3人～5人,90分前後,12歳～,2003年～
アベ・カエサル,3人～6人,30分～40分,12歳～,1989年～
アブルクセン,2人～5人,20分前後,10歳～,2014年～
アブラカ…ワット？,2人～5人,30分前後,7歳～,2014年～
アップル・トゥ・アップル,4人～10人,30分～40分,12歳～,1999年～
アサラ,2人～4人,45分前後,9歳～,2010年～
アクワイア,3人～6人,90分前後,12歳～,1962年～
アグリコラ,1人～5人,120分～140分,12歳～,2007年～
アクアスフィア,2人～4人,100分前後,12歳～,2014年～
デュプリク / アイデンティク,3人～10人,45分前後,12歳～,2006年～
アール・エコ,2人～5人,20分前後,8歳～,2004年～
あーぎ！てくと,4人～8人,45分前後,8歳～,2016年～
森の影,2人～8人,30分～40分,5歳～,1985年～
もっとホイップを！,2人～5人,20分前後,8歳～,2008年～
モダンアート,3人～5人,45分前後,10歳～,1992年～
メンバーズ・オンリー,3人～5人,45分前後,10歳～,1996年～
メトロポリィス,2人～4人,45分前後,8歳～,2008年～
メディナ,3人～4人,60分前後,10歳～,2001年～
メディチ対ストロッツィ,2人用,30分前後,10歳～,2006年～
メディチ,2人～6人,60分前後,10歳～,1995年～
メキシカントレイン,1人～8人,20分前後,10歳～,1994年～
メイクンブレイク,2人～4人,30分前後,8歳～,2004年～
ムガル（旧版）,3人～6人,45分前後,10歳～,2002年～
ムガル（新版）,3人～5人,45分前後,13歳～,2015年～
ミューラ,3人用,30分前後,7歳～,1985年～
ミラーズホロウの人狼,8人～18人,30分前後,10歳～,2001年～
ミノタウロス・ロード,2人用,10分～20分,12歳～,2004年～
ミッドナイトパーティー,2人～8人,30分～40分,8歳～,1989年～
三戒,3人～7人,45分前後,10歳～,2008年～
ミスターX,2人～6人,60分前後,10歳～,2009年～
ミスター・ダイヤモンド,2人～8人,20分前後,8歳～,1993年～
ミケリノス王,2人～4人,45分前後,10歳～,2006年～
マンマミーア・プラス,2人～6人,60分前後,10歳～,2009年～
マンハッタン,2人～4人,45分前後,10歳～,1994年～
マリア,2人～3人,210分前後,14歳～,2009年～
マラケシュ,3人～4人,60分前後,12歳～,1996年～
マメじゃないよ,3人～6人,45分前後,10歳～,1999年～
